State Name,District Name,District Helpline Number,State Helpline Number
Andhra Pradesh,Ananthapuram,08554-277434,0866-2410978 
Andhra Pradesh,Chittoor,9849902379,0866-2410978 
Andhra Pradesh,East Godavari,8842356196,0866-2410978 
Andhra Pradesh,Guntur,0863-2271492,0866-2410978 
Andhra Pradesh,Krishna,9491058200,0866-2410978 
Andhra Pradesh,Kurnool,9441300005,0866-2410978 
Andhra Pradesh,Prakasam,7729803162,0866-2410978 
Andhra Pradesh,SPSR Nellore,9618232115,0866-2410978 
Andhra Pradesh,Srikakulam,6300073203,0866-2410978 
Andhra Pradesh,Visakhapatnam,9666556597,0866-2410978 
Andhra Pradesh,Vizianagaram,08922-227950,0866-2410978 
Andhra Pradesh,West Godavari,08812-222376,0866-2410978 
Andhra Pradesh,YSR Kadapa,08562-245259,0866-2410978 
Arunachal Pradesh,Anjaw,9612750956,9436055743
Arunachal Pradesh,"Capital Complex, Itanagar",9436046730,9436055743
Arunachal Pradesh,Changlang,9436051629,9436055743
Arunachal Pradesh,Dibang Valley,9436839794,9436055743
Arunachal Pradesh,East Kameng,9436857046,9436055743
Arunachal Pradesh,East Siang,8794837994,9436055743
Arunachal Pradesh,Kamle,7085425500,9436055743
Arunachal Pradesh,Kra Daadi,9774814808,9436055743
Arunachal Pradesh,Kurung Kumey,8974836406,9436055743
Arunachal Pradesh,Leparada,7628091171,9436055743
Arunachal Pradesh,Lohit,6009184288,9436055743
Arunachal Pradesh,Longding,7638913045,9436055743
Arunachal Pradesh,Lower Dibang Valley,9436258332,9436055743
Arunachal Pradesh,Lower Siang,8794412985,9436055743
Arunachal Pradesh,Lower Subansiri,9436047337,9436055743
Arunachal Pradesh,Namsai,8414926777,9436055743
Arunachal Pradesh,Pakke Kessang,9436053117,9436055743
Arunachal Pradesh,Papum Pare,9436059242,9436055743
Arunachal Pradesh,Shi-Yomi,,9436055743
Arunachal Pradesh,Siang,8730966312,9436055743
Arunachal Pradesh,Tawang,03794-222203,9436055743
Arunachal Pradesh,Tirap,8730966312,9436055743
Arunachal Pradesh,Upper Siang,7085989289,9436055743
Arunachal Pradesh,Upper Subansiri,9402602363,9436055743
Arunachal Pradesh,West Kameng,03782-223773,9436055743
Arunachal Pradesh,West Siang,8731954164,9436055743
Assam,Baksa,9401869930,6913347770
Assam,Barpeta,6913347770,6913347770
Assam,Biswanath,03712-295227,6913347770
Assam,Bongaigaon,3664228135,6913347770
Assam,Cachar,3842230956,6913347770
Assam,Charaideo,3772223397,6913347770
Assam,Chirang,7896593882,6913347770
Assam,Darrang,9435844400,6913347770
Assam,Dhemaji,3753224014,6913347770
Assam,Dhubri,8876841117,6913347770
Assam,Dibrugarh,9435358371,6913347770
Assam,Dima Hasao,7896443784,6913347770
Assam,Goalpara,8638409072,6913347770
Assam,Golaghat,3774283918,6913347770
Assam,Hailakandi,7099252972,6913347770
Assam,Hojai,6003256039,6913347770
Assam,Jorhat,2300059,6913347770
Assam,Kamrup Metropolitan,6913347770,6913347770
Assam,Kamrup,9678471071,6913347770
Assam,Karbi Anglong,8134991888,6913347770
Assam,Karimganj,8638628106,6913347770
Assam,Kokrajhar,8471875491,6913347770
Assam,Lakhimpur,37521077,6913347770
Assam,Majuli,9435351450,6913347770
Assam,Marigaon,3678241341,6913347770
Assam,Nagaon,9435502302,6913347770
Assam,Nalbari,3624223094,6913347770
Assam,Sibsagar,3772223397,6913347770
