STATE NAME,District Name,District Helpline Number,State Helpline Number
ANDHRA PRADESH,Ananthapuram,08554-277434,0866-2410978 
ANDHRA PRADESH,Chittoor,9849902379,0866-2410978 
ANDHRA PRADESH,East Godavari,8842356196,0866-2410978 
ANDHRA PRADESH,Guntur,0863-2271492,0866-2410978 
ANDHRA PRADESH,Krishna,9491058200,0866-2410978 
ANDHRA PRADESH,Kurnool,9441300005,0866-2410978 
ANDHRA PRADESH,Prakasam,7729803162,0866-2410978 
ANDHRA PRADESH,SPSR Nellore,9618232115,0866-2410978 
ANDHRA PRADESH,Srikakulam,6300073203,0866-2410978 
ANDHRA PRADESH,Visakhapatnam,9666556597,0866-2410978 
ANDHRA PRADESH,Vizianagaram,08922-227950,0866-2410978 
ANDHRA PRADESH,West Godavari,08812-222376,0866-2410978 
ANDHRA PRADESH,YSR Kadapa,08562-245259,0866-2410978 
ARUNACHAL PRADESH,Anjaw,9612750956,9436055743
ARUNACHAL PRADESH,"Capital Complex, Itanagar",9436046730,9436055743
ARUNACHAL PRADESH,Changlang,9436051629,9436055743
ARUNACHAL PRADESH,Dibang Valley,9436839794,9436055743
ARUNACHAL PRADESH,East Kameng,9436857046,9436055743
ARUNACHAL PRADESH,East Siang,8794837994,9436055743
ARUNACHAL PRADESH,Kamle,7085425500,9436055743
ARUNACHAL PRADESH,Kra Daadi,9774814808,9436055743
ARUNACHAL PRADESH,Kurung Kumey,8974836406,9436055743
ARUNACHAL PRADESH,Leparada,7628091171,9436055743
ARUNACHAL PRADESH,Lohit,6009184288,9436055743
ARUNACHAL PRADESH,Longding,7638913045,9436055743
ARUNACHAL PRADESH,Lower Dibang Valley,9436258332,9436055743
ARUNACHAL PRADESH,Lower Siang,8794412985,9436055743
ARUNACHAL PRADESH,Lower Subansiri,9436047337,9436055743
ARUNACHAL PRADESH,Namsai,8414926777,9436055743
ARUNACHAL PRADESH,Pakke Kessang,9436053117,9436055743
ARUNACHAL PRADESH,Papum Pare,9436059242,9436055743
ARUNACHAL PRADESH,Shi-Yomi,,9436055743
ARUNACHAL PRADESH,Siang,8730966312,9436055743
ARUNACHAL PRADESH,Tawang,03794-222203,9436055743
ARUNACHAL PRADESH,Tirap,8730966312,9436055743
ARUNACHAL PRADESH,Upper Siang,7085989289,9436055743
ARUNACHAL PRADESH,Upper Subansiri,9402602363,9436055743
ARUNACHAL PRADESH,West Kameng,03782-223773,9436055743
ARUNACHAL PRADESH,West Siang,8731954164,9436055743
ASSAM,Baksa,9401869930,6913347770
ASSAM,Barpeta,6913347770,6913347770
ASSAM,Biswanath,03712-295227,6913347770
ASSAM,Bongaigaon,3664228135,6913347770
ASSAM,Cachar,3842230956,6913347770
ASSAM,Charaideo,3772223397,6913347770
ASSAM,Chirang,7896593882,6913347770
ASSAM,Darrang,9435844400,6913347770
ASSAM,Dhemaji,3753224014,6913347770
ASSAM,Dhubri,8876841117,6913347770
ASSAM,Dibrugarh,9435358371,6913347770
ASSAM,Dima Hasao,7896443784,6913347770
ASSAM,Goalpara,8638409072,6913347770
ASSAM,Golaghat,3774283918,6913347770
ASSAM,Hailakandi,7099252972,6913347770
ASSAM,Hojai,6003256039,6913347770
ASSAM,Jorhat,2300059,6913347770
ASSAM,Kamrup Metropolitan,6913347770,6913347770
ASSAM,Kamrup,9678471071,6913347770
ASSAM,Karbi Anglong,8134991888,6913347770
ASSAM,Karimganj,8638628106,6913347770
