State Name,District Name,District Helpline Number,State Helpline Number
Andhra Pradesh,Srikakulam,6300073203,0866-2410978 
Andhra Pradesh,Vizianagaram,08922-227950,0866-2410978 
Andhra Pradesh,Visakhapatnam,9666556597,0866-2410978 
Andhra Pradesh,East Godavari,8842356196,0866-2410978 
Andhra Pradesh,West Godavari,08812-222376,0866-2410978 
Andhra Pradesh,Krishna,9491058200,0866-2410978 
Andhra Pradesh,Guntur,0863-2271492,0866-2410978 
Andhra Pradesh,Prakasam,7729803162,0866-2410978 
Andhra Pradesh,SPSR Nellore,9618232115,0866-2410978 
Andhra Pradesh,Chittoor,9849902379,0866-2410978 
Andhra Pradesh,YSR Kadapa,08562-245259,0866-2410978 
Andhra Pradesh,Anantapur,08554-277434,0866-2410978 
Andhra Pradesh,Kurnool,9441300005,0866-2410978 
Assam,Baksa,9401869930,6913347770
Assam,Barpeta,6913347770,6913347770
Assam,Biswanath,03712-295227,6913347770
Assam,Bongaigaon,3664228135,6913347770
Assam,Cachar,3842230956,6913347770
Assam,Charaideo,3772223397,6913347770
Assam,Chirang,7896593882,6913347770
Assam,Darrang,9435844400,6913347770
Assam,Dhemaji,3753224014,6913347770
Assam,Dhubri,8876841117,6913347770
Assam,Dibrugarh,9435358371,6913347770
Assam,Dima Hasao,7896443784,6913347770
Assam,Goalpara,8638409072,6913347770
Assam,Golaghat,3774283918,6913347770
Assam,Hailakandi,7099252972,6913347770
Assam,Hojai,6003256039,6913347770
Assam,Jorhat,2300059,6913347770
Assam,Kamrup Metropolitan,6913347770,6913347770
Assam,Kamrup,9678471071,6913347770
Assam,Karbi Anglong,8134991888,6913347770
Assam,Karimganj,8638628106,6913347770
Assam,Kokrajhar,8471875491,6913347770
Assam,Lakhimpur,37521077,6913347770
Assam,Majuli,9435351450,6913347770
Assam,Marigaon,3678241341,6913347770
Assam,Nagaon,9435502302,6913347770
Assam,Nalbari,3624223094,6913347770
Assam,Sibsagar,3772223397,6913347770
Assam,Sonitpur,3712295227,6913347770
Assam,South Salmara-Mankachar,3662286328,6913347770
Assam,Tinsukia,6900911465,6913347770
Assam,Udalguri,6002090330,6913347770
Chhattisgarh,Balod,07749 223950,104
Chhattisgarh,Baloda Bazar,0772 7223697,104
Chhattisgarh,Balrampur,7831273177,104
