STATE NAME, District Name, District Helpline Number, State Helpline Number
ANDHRA PRADESH, Srikakulam, 6300073203, 0866-2410978 
ANDHRA PRADESH, Vizianagaram, 08922-227950, 0866-2410978 
ANDHRA PRADESH, Visakhapatnam, 9666556597, 0866-2410978 
ANDHRA PRADESH, East Godavari, 8842356196, 0866-2410978 
ANDHRA PRADESH, West Godavari, 08812-222376, 0866-2410978 
ANDHRA PRADESH, Krishna, 9491058200, 0866-2410978 
ANDHRA PRADESH, Guntur, 0863-2271492, 0866-2410978 
ANDHRA PRADESH, Prakasam, 7729803162, 0866-2410978 
ANDHRA PRADESH, SPSR Nellore, 9618232115, 0866-2410978 
ANDHRA PRADESH, Chittoor, 9849902379, 0866-2410978 
ANDHRA PRADESH, YSR Kadapa, 08562-245259, 0866-2410978 
ANDHRA PRADESH, Anantapur, 08554-277434, 0866-2410978 
ANDHRA PRADESH, Kurnool, 9441300005, 0866-2410978 
ASSAM, Baksa, 9401869930, 6913347770
ASSAM, Barpeta, 6913347770, 6913347770
ASSAM, Biswanath, 03712-295227, 6913347770
ASSAM, Bongaigaon, 3664228135, 6913347770
ASSAM, Cachar, 3842230956, 6913347770
ASSAM, Charaideo, 3772223397, 6913347770
ASSAM, Chirang, 7896593882, 6913347770
ASSAM, Darrang, 9435844400, 6913347770
ASSAM, Dhemaji, 3753224014, 6913347770
ASSAM, Dhubri, 8876841117, 6913347770
ASSAM, Dibrugarh, 9435358371, 6913347770
ASSAM, Dima Hasao, 7896443784, 6913347770
ASSAM, Goalpara, 8638409072, 6913347770
ASSAM, Golaghat, 3774283918, 6913347770
ASSAM, Hailakandi, 7099252972, 6913347770
ASSAM, Hojai, 6003256039, 6913347770
ASSAM, Jorhat, 2300059, 6913347770
ASSAM, Kamrup Metropolitan, 6913347770, 6913347770
ASSAM, Kamrup, 9678471071, 6913347770
ASSAM, Karbi Anglong, 8134991888, 6913347770
ASSAM, Karimganj, 8638628106, 6913347770
ASSAM, Kokrajhar, 8471875491, 6913347770
ASSAM, Lakhimpur, 37521077, 6913347770
ASSAM, Majuli, 9435351450, 6913347770
ASSAM, Marigaon, 3678241341, 6913347770
ASSAM, Nagaon, 9435502302, 6913347770
ASSAM, Nalbari, 3624223094, 6913347770
