UT Name,District Name,District Helpline Number,UT Helpline Number
Andaman and Nicobar Islands,,,03192-232102
Chandigarh,,,9779558282
Dadra and Nagar Haveli and Daman and Diu,Daman,104,104
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,02602-412500,104
Dadra and Nagar Haveli and Daman and Diu,Diu,02875-252111,104
Delhi,,,011-22307145
Jammu & Kashmir,Ananthnag,7006367950,01912-520982
Jammu & Kashmir,Srinagar,0194-2457552,01912-520982
Jammu & Kashmir,Bandipore,01957-225024,01912-520982
Jammu & Kashmir,Baramulla,01952-234005,01912-520982
Jammu & Kashmir,Budgam,01951-255241,01912-520982
Jammu & Kashmir,Ganderbal,0194-2416260,01912-520982
Jammu & Kashmir,Kulgam,01931-260156,01912-520982
Jammu & Kashmir,Kupwara,01955-253522,01912-520982
Jammu & Kashmir,Poonch,01965-220333,01912-520982
Jammu & Kashmir,Pulwama,01933-241240,01912-520982
Jammu & Kashmir,Shopian,01933-260293,01912-520982
Jammu & Kashmir,Doda,1800-180-7122,01912-520982
Jammu & Kashmir,Jammu,0191-2571912,01912-520982
Jammu & Kashmir,Kathua,1800 180 7180,01912-520982
Jammu & Kashmir,Kishtwar,01995-259555;,01912-520982
Jammu & Kashmir,Ramban,01998-266789,01912-520982
Jammu & Kashmir,Reasi,01991-245669,01912-520982
Jammu & Kashmir,Udhampur,01992-270212,01912-520982
Ladakh,Leh,01982-255530,01982-256462
Ladakh,Kargil,01985-232263,01982-256462
Lakshadweep,,,104
Pondicherry,Pondicherry,104,104
Pondicherry,Yanam,8842325100,104
Pondicherry,Karaikal,04368 261242,104
Pondicherry,Mahe,0490- 2332222,104
