STATE,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
HIMACHAL PRADESH,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Indira Gandhi Medical College; Shimla,,https://www.icmr.gov.in/,,,,,
HIMACHAL PRADESH,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Dr.Rajendra Prasad Govt. Med. College; Kangra; Tanda,,https://www.icmr.gov.in/,,,,,
HIMACHAL PRADESH,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Central Research Institute; Kasauli,,https://www.icmr.gov.in/,,,,,
HIMACHAL PRADESH,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,CSIR Institute of Himalayan Bioresource Technology; Palampur,,https://www.icmr.gov.in/,,,,,
HIMACHAL PRADESH,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Arrangement of sampling from various districts-Dated:22-04-2020,,,http://covidorders.hp.gov.in/frontend/web/writeData/Shimla/a41313565aee5560bef874942c04d3ec87f3a3d7.pdf,,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Isolation Centers,Govt.,SLBSGMC Ner Chawk Mandi notified as dedicated isolation facility,,,http://covidorders.hp.gov.in/frontend/web/writeData/Shimla/11f365349f448351339a385ad7eea35ff033d250.pdf,,,,Apart from IGMC Shimla and Dr. RPGMC Tanda,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Isolation Centers,Govt.,SS Memorial Ashirwad Hospital;Chamba,,,http://covidorders.hp.gov.in/frontend/web/writeData/Shimla/a4fb69ca8ae6c6fbdb59ed80ce88538f2db568d5.pdf,secondary level dedicated isolation facility catering to distrcit Chamba with Dr. RPGMC Tanda as earmarked tertiary level facility for confirmed cases; in case referral is required.,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Isolation Centers,Govt.,Aggarwal Trust Dharamshala; Jwalamukhi; Kangra,,,http://covidorders.hp.gov.in/frontend/web/writeData/Shimla/eb183b72bbb09b8d59b2d13ec90a709245f38f6c.pdf,secondary level dedicated isolation facility catering to distrcit Kangra; medical block nadaun and district Hamirpur with Dr. RPGMC Tanda as earmarked tertiary level facility for confirmed cases; in case referral is required.,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Isolation Centers,Govt.,Charitable Hospital; Bhota; Hamirpur,,,http://covidorders.hp.gov.in/frontend/web/writeData/Shimla/143318b022cbc887ab25dbda2fb2d61e44906072.pdf,secondary level dedicated isolation facility catering to distrcit Hamirpur and Una with Dr. RPGMC Tanda as earmarked tertiary level facility for confirmed cases; in case referral is required.,,,,http://covidorders.hp.gov.in/
HIMACHAL PRADESH,ALL,State,Health View,Isolation Centers,Govt.,Civil Hospital; Sarahan; Distt. Sirmaur,,,http://covidorders.hp.gov.in/frontend/web/writeData/Shimla/37c6578fb3e9b508105e5f095a11bbc4fc2444bd.pdf,secondary level dedicated isolation centers catering to district Sirmaur with IGMC Shimla as earmarked tertiary level facility for confirmed cases; in case referral is required.,,,,http://covidorders.hp.gov.in/
