State,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Meghalaya,ALL,State,Shelter View,,Govt.,Shelter Homes for students,,8414804770,http://meghalaya.gov.in/megcms/sites/default/files/announcement/Helpline_Numbers_Updated.pdf,Students in Shillong who want to avail shelter home services.,,,,http://meghalayaonline.gov.in/covid/login.htm
Meghalaya,ALL,State,Health View,Isolation Centers,Govt.,List of all isolation centres,With Contact numbers,,http://meghalayaonline.gov.in/covid/images/materials/hospitals.pdf,,,,,http://meghalayaonline.gov.in/covid/login.htm
Meghalaya,ALL,State,Health View,Speciality Hospitals,Govt.,List of Designated Hospitals for Covid-19 suspect and infected cases,,,http://meghalayaonline.gov.in/covid/images/materials/hospitals.pdf,,,,,http://meghalayaonline.gov.in/covid/login.htm
Meghalaya,ALL,State,Health View,Others,Govt.,Control Room Helpline Number; Integrated Disease Surveillance Programme; East Garo Hills & North Garo Hills,,9485113132,http://meghalaya.gov.in/megcms/sites/default/files/announcement/Helpline_Numbers_Updated.pdf,Helpline for persons under Home Isolation / Quarantine,,,Report of Home Isolation / Quarantine violation in the respective Districts. ▪ Registration of Medical Volunteers,http://meghalaya.gov.in
Meghalaya,ALL,State,Health View,Others,Govt.,Control Room Helpline Number; Integrated Disease Surveillance Programme; South Garo Hills,,7085100406,http://meghalaya.gov.in/megcms/sites/default/files/announcement/Helpline_Numbers_Updated.pdf,Helpline for persons under Home Isolation / Quarantine,,,Report of Home Isolation / Quarantine violation in the respective Districts. ▪ Registration of Medical Volunteers,http://meghalaya.gov.in
Meghalaya,ALL,State,Health View,Others,Govt.,Control Room Helpline Number; Integrated Disease Surveillance Programme; East Khasi Hills,,7085281316,http://meghalaya.gov.in/megcms/sites/default/files/announcement/Helpline_Numbers_Updated.pdf,Helpline for persons under Home Isolation / Quarantine,,,Report of Home Isolation / Quarantine violation in the respective Districts. ▪ Registration of Medical Volunteers,http://meghalaya.gov.in
Meghalaya,ALL,State,Health View,Others,Govt.,Control Room Helpline Number; Integrated Disease Surveillance Programme; Ri Bhoi,,8787520449,http://meghalaya.gov.in/megcms/sites/default/files/announcement/Helpline_Numbers_Updated.pdf,Helpline for persons under Home Isolation / Quarantine,,,Report of Home Isolation / Quarantine violation in the respective Districts. ▪ Registration of Medical Volunteers,http://meghalaya.gov.in
Meghalaya,ALL,State,Health View,Others,Govt.,Control Room Helpline Number; Integrated Disease Surveillance Programme; West Garo Hills & South West Garo Hills,,9864939334,http://meghalaya.gov.in/megcms/sites/default/files/announcement/Helpline_Numbers_Updated.pdf,Helpline for persons under Home Isolation / Quarantine,,,Report of Home Isolation / Quarantine violation in the respective Districts. ▪ Registration of Medical Volunteers,http://meghalaya.gov.in
Meghalaya,ALL,State,Health View,Others,Govt.,Control Room Helpline Number; Integrated Disease Surveillance Programme; West Khasi Hills & South West Khasi Hills,,9485395373,http://meghalaya.gov.in/megcms/sites/default/files/announcement/Helpline_Numbers_Updated.pdf,Helpline for persons under Home Isolation / Quarantine,,,Report of Home Isolation / Quarantine violation in the respective Districts. ▪ Registration of Medical Volunteers,http://meghalaya.gov.in
Meghalaya,ALL,State,Health View,Others,Govt.,Control Room Helpline Number; Integrated Disease Surveillance Programme; West Jaintia Hills & East Jaintia Hills,,6009693315 03655230605 7628075990,http://meghalaya.gov.in/megcms/sites/default/files/announcement/Helpline_Numbers_Updated.pdf,Helpline for persons under Home Isolation / Quarantine,,,Report of Home Isolation / Quarantine violation in the respective Districts. ▪ Registration of Medical Volunteers,http://meghalaya.gov.in
Meghalaya,ALL,State,Health View,Covid19 Testing Centres,Govt.,Government Laboratory,North Eastern Indira Gandhi Regional Institute of Health & Medical Sciences; Shillong; Meghalaya,,https://www.icmr.gov.in/,,,,,
Meghalaya,ALL,State,Others,,Govt.,Self Registration form,,,http://meghalayaonline.gov.in/covid/selfregistration.htm,For those who arrived in Meghalaya in the past one month.,,,,http://meghalayaonline.gov.in/covid
Meghalaya,ALL,State,Others,,Govt.,Self Reporting form (feeling sick?) ,,,http://meghalayaonline.gov.in/covid/editselfregistration.htm,Only for those who have already registered in this portal.,,,,http://meghalayaonline.gov.in/covid
Meghalaya,ALL,State,Others,,Govt.,Registration of Labourers affected by Lockdown due to COVID-19,,,http://164.100.149.196/labours/login.htm,,,,,
Meghalaya,ALL,State,Others,,Govt.,Registration form for Citizens of Meghalaya stranded outside North East,Those who do not have Internet access may also call ; It is to be noted that given the current COVID situation; pre-registration as described above; is mandatory for entering the State,8258811914;7005728463;8794064688;9089171167;8974282912;8974081984;8575342904;9485103194,http://meghalayaonline.gov.in/covid/registerothers.htm,,,,between 9 am and 8 pm on any day,
Meghalaya,ALL,State,Others,,Govt.,Registration form for Citizens of Meghalaya stranded outside India ,,,http://meghalayaonline.gov.in/covid/registerforeign.htm,,,,,
Meghalaya,ALL,State,Others,,Govt.,Financial Assistance to marginal section during covid,,,http://eastgarohills.gov.in/covid19/Notifications/Notification_361.pdf,,,,,http://eastgarohills.gov.in
Meghalaya,ALL,State,E-pass View,,Govt.,Curfew Pass ,,,https://megedistrict.gov.in/renderApplicationForm.do?serviceId=11460003&UUID=97d4e662-40eb-4cea-80f5-5393f4aea153&grievDefined=0&serviceLinkRequired=No&directService=true&userLoggedIn=N&tempId=4321&source=CTZN&OWASP_CSRFTOKEN=1PC7-6B4Q-QMSE-2ILK-6XWJ-MA94-8V0X-ABGS,,Document Proof as to why the PASS is required; Identity Proof (EPIC Card),,,http://meghalaya.gov.in
Meghalaya,ALL,State,Food View,Food Delivery,Govt.,List of all online stores for home Delivery and ecommerce,,,https://www.meghamart.com/,,,,,http://meghalayaonline.gov.in/covid/login.htm
Meghalaya,East Garo Hills,District,E-pass View,,Govt.,,,,https://megedistrict.gov.in/renderApplicationForm.do;jsessionid=6B0F163B6282E35AC0417A444072E414?serviceId=11460003&UUID=5e987f83-5814-4205-99af-f5fd7bf8389a&grievDefined=0&serviceLinkRequired=No&directService=true&userLoggedIn=N&tempId=4321&source=CTZN&OWASP_CSRFTOKEN=O56J-25WJ-ZW62-E6SO-72SL-BCZ3-5UCB-G53I,,,,,
Meghalaya,East Garo Hills,District,Others,,Govt.,Financial Assistance to marginal section during covid,,,http://eastgarohills.gov.in/covid19/Notifications/Notification_361.pdf,,,,,http://eastgarohills.gov.in/covid19
Meghalaya,East Garo Hills,District,Food View,Food Delivery,Govt.,Contact list of volunteers area wise for home Delivery of grocery,,,http://eastgarohills.gov.in/covid19/Announcements/DeliveryContact.pdf,,,,,http://eastgarohills.gov.in/covid-19.html
Meghalaya,Ri Bhoi,District,Food View,Food: Ration,Govt.,Poultry and livestock retailers,,,https://cdn.s3waas.gov.in/s3fe8c15fed5f808006ce95eddb7366e35/uploads/2020/04/2020040816.pdf,,,,,https://ribhoi.gov.i
Meghalaya,Ri Bhoi,District,Shelter View,,Govt.,Relief camp for stranded people,,,https://cdn.s3waas.gov.in/s3fe8c15fed5f808006ce95eddb7366e35/uploads/2020/04/2020040269.pdf,,,,,https://ribhoi.gov.i
Meghalaya,Ri Bhoi,District,Food View,Food Delivery,Govt.,Home Delivery for Nongpoh town and nearby villages,Groceries items; Bakery items and Vegetables respectively,7085252752;8414897670;9774040444;9366496783;1917,https://ribhoi.gov.in/press-release-on-home-Delivery-service/,,,,,https://ribhoi.gov.i
Meghalaya,Ri Bhoi,District,Others,,Govt.,Farmers who want to sell their produce,,1917;9774040444,,,,,,https://ribhoi.gov.i
Meghalaya,South West Garo Hills,District,Others,,Govt.,Self registration of people who travelled from Ri bhoi and west khasi hills before 20th march,,,http://southwestgarohills.gov.in/notices/gen_info.pdf,,,,,http://meghalaya.gov.in
Karnataka,ALL,State,Health View,Speciality Hospitals,Govt.,Fever Clinics ,First point of contact for all suspected COVID-19 Cases.,104,https://covid19.karnataka.gov.in/new-page/Fever%20Clinics/en,,,,,
Karnataka,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratories,Government Laboratories: Hassan Inst of Med Sciences (Hassan); Mysore Medical College and Research Institute (Mysore); Shivamogga Institute of Medical Sciences (Shivamogga); Command Hospital (airforce) ( Bengaluru); Bangalore Medical College and Research Institute (Bengaluru); National Institute of Virology (Bangalore Field Unit; Bengaluru); Gulbarga Institute of Medical Sciences (Gulbarga);Vijaynagar Institue of Medical Sciences (Bellary); National Institute of Mental Health and NeuroSciences (Bangalore); Wenlock District Hospital (Mangalore); Karnataka Institute of Medical Sciences (Hubli); National Institute of Traditional Medicine (Belagavi); Deptt. of Biochemistry Indian Institute of Science (Bengaluru); Dharwad Institute of Mental Health & Neurosciences (Dharwad) ,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Govt. Institution approved only for CBNAAT testing of COVID-19,Gadag Institute of Medical Sciences (Gadag); Tumkur District Hospital (Tumkur); Vijayapura District Hospital (Vijayapura),,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Neuberg Anand Reference Laboratory Anand Tower; #54; Bowring Hospital Road (Bengaluru),,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Cancyte Technologies Pvt Ltd; Sri Shankara Research Centre; Bengaluru,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Sakra World Hospital Lab Services; Devarabeesanahalli VArthur Hobli; Bengaluru,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Central Diagnostic Lab; Vydehi Institute of Medical Sciences and Research Centre; #82; E.P.I.P. Area; Whitefield; Bengaluru,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Lab Services; Apollo Hospitals; 154/11; Bannerghatta Road; Bengaluru,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Syngene International Limited; Biocon Park; SEZ; Bommasandra Industrial Area; Phase IV; Bommasandra-Jigani Link Road; Bengaluru,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Department of Lab Medicine; Narayana Hrudayalaya Ltd; 258/A; Bommasandra Industrial Area; Hosur Road; Bengaluru,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Aster Clinical Lab LLP; No 24; Venkatappa Road; Tasker Town; Vasanthanagar; Bangalore,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Covid19 Testing Centres,Govt.,Private Laboratory,Microbiological Lab; 22-D 3; KIADB Industrial Area; 1st Phase; Kumbalagidu; Bengaluru,,https://www.icmr.gov.in/,,,,,
Karnataka,ALL,State,Health View,Others,Govt.,Quarantine facility,,,https://covid19.karnataka.gov.in/new-page/Quarantine%20Centers/en,,,,,
Karnataka,ALL,State,Health View,Isolation Centers,Govt.,Isolation Centres,,,https://covid19.karnataka.gov.in/new-page/Isolation%20Centers/en,,,,,
