State,District,Kind_of_Data,Type_of_initative,Dropdown_list,Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs,
Bihar,ALL,State,Food View,Ration,Rs. 2000 distribution using DBT,,,http://164.100.251.6/FOODDBT/VerifyPDS.aspx,Ration card holder,,,,,
Bihar,ALL,State,Food View,Hunger Helplines,Call for any information on food related issues,,0612-2217636,https://covidportal.bihar.gov.in/public/docs/Helpline_Numbers.pdf,,,,,https://covidportal.bihar.gov.in,
Bihar,ALL,State,Others,,Bihar Corona Sahayata App,,,,,,,,,
Bihar,ALL,State,E-pass,,E-pass,,,https://serviceonline.bihar.gov.in/renderApplicationForm.do?serviceId=11720005&UUID=8d596e08-669e-4710-a8eb-9244df7064db&grievDefined=0&serviceLinkRequired=No&directService=true&userLoggedIn=N&tempId=4105&source=CTZN&OWASP_CSRFTOKEN=UNA8-8XCI-GKM6-Q8JU-BI12-70WE-NNXW-HY5N,,,,,,
Bihar,ALL,State,E-pass,,Procedure,,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/04/2020040912.pdf,,,,,,
Bihar,ALL,State,Health View,Covid-19 Testing Centres,Government Laboratory for RT-PCR covid test,Rajendra Memorial Research Institute of Medical Sciences; Patna,,https://www.icmr.gov.in/,,,,,,
Bihar,ALL,State,Health View,Covid-19 Testing Centres,Government Laboratory for RT-PCR covid test,Indira Gandhi Institute Medical Sciences; Patna,,https://www.icmr.gov.in/,,,,,,
Bihar,ALL,State,Health View,Covid-19 Testing Centres,Government Laboratory for RT-PCR covid test,Patna Medical College; Patna,,https://www.icmr.gov.in/,,,,,,
Bihar,ALL,State,Health View,Covid-19 Testing Centres,Government Laboratory for RT-PCR covid test,Darbhanga Medical College; Darbhanga,,https://www.icmr.gov.in/,,,,,,
Bihar,ALL,State,Health View,Covid-19 Testing Centres,Government Laboratory for RT-PCR covid test,SKMCH; Muzaffarpur,,https://www.icmr.gov.in/,,,,,,
Bihar,ALL,State,Health View,Covid-19 Testing Centres,Government Laboratory for RT-PCR covid test,All India Institute of Medical Sciences; Patna,,https://www.icmr.gov.in/,,,,,,
Bihar,ALL,State,Health View,Covid-19 Testing Centres,Government Laboratory for CB-NAAT covid test,  Jawaharlal Nehru Medical College; Bhagalpur,,https://www.icmr.gov.in/,,,,,,
Bihar,ALL,State,Health View,Isolation Centres,,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,ALL,State,Health View,Others,Bihar Health Dept. Twitter,,,https://twitter.com/BiharHealthDept/,,,,,,
Bihar,ALL,State,Others,,Registration link for people staying outside Bihar to visit home state Bihar,,,https://khagaria.nic.in/registration-link-for-people-stay-outside-bihar-to-visit-home-state-bihar/,,,,,,
Bihar,Araria,District ,Health View,Isolation Centres,SADAR hospital,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Araria,District ,Health View,Isolation Centres,SDH firbisganj,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Araria,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,"06453-224569",http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Arwal,District ,Health View,Isolation Centres,DH arwal ,,,http://statehealthsocietybihar.org/shs/Letter%20No-9796%20Dated%2030.03.2020.pdf,,,,,http://statehealthsocietybihar.org/,
Bihar,Arwal,District ,Health View,Tele-consultation,Call for teleconsultation or for calling doctor at home in emergency,,60337-229382,http://statehealthsocietybihar.org/corona/covid19/controlroom.jpg,,,,,http://statehealthsocietybihar.org/,
Bihar,Arwal,District ,Food view,Food delivery,Fruit and vegetable vendors,,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/04/2020042756.pdf,,,,,https://arwal.nic.in/,
Bihar,Arwal,District ,Food view,Ration,Ration vendors,Nagar parishad arwal,,https://cdn.s3waas.gov.in/s366808e327dc79d135ba18e051673d906/uploads/2020/04/2020042755.pdf,,,,,https://arwal.nic.in/,
