UT,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Delhi,ALL,UT,Food View,Ration,Govt.,Ration with e-Coupon (Temporary ration card),,,https://ration.jantasamvad.org/ration/,,Aadhar card,,Take aadhar card and e-Coupon along to relief center to collect ration,
Delhi,ALL,UT,Food View,Others,Govt.,Food centers,,,https://sites.google.com/View/delhihungerrelief/%E0%A4%AD%E0%A4%9C%E0%A4%A8%E0%A4%B2%E0%A4%AF-%E0%A4%B8%E0%A4%9A,,,The camps are serving food twice a day; from 12 pm to 3pm and from 6pm to 9pm.,,
Delhi,ALL,UT,Shelter View,,Govt.,Information on relief shelters,,,https://sites.google.com/View/delhihungerrelief/%E0%A4%85%E0%A4%A4%E0%A4%B0%E0%A4%95%E0%A4%A4-%E0%A4%B0%E0%A4%B9%E0%A4%A4-%E0%A4%AC%E0%A4%B8%E0%A4%B0-%E0%A4%95-%E0%A4%B8%E0%A4%9A,,,,http://www.delhishelterboard.in/occupancy-report/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Govt. Laboratory,All India Institute Medical Sciences (AIIMS),,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Govt. Laboratory,Lady Hardinge Medical College,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Govt. Laboratory,National Centre for Disease Control (NCDC); Kashmere gate,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Govt. Laboratory,Maulana Azad Medical College,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Govt. Laboratory,Ram Manohar Lohiya Hospital,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Govt. Laboratory,Institute of Liver & Biliary Sciences,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
Delhi,ALL,UT,Health View,Covid-19 Testing Centres,Govt.,Govt. Laboratory,Army Hospital Research and Referral,,https://www.icmr.gov.in/,Patients who have a doctor prescription for COVID-19 test should only go for this test.,1. Prescription of the Doctor.2. ICMR Specimen Referral.3. Form mentioning recent travel history and other details. 4. ID and address proof (issued by Government).,,The information on eligibility and documents is taken from: https://www.oncquest.net/covid-19/,
